id,tipo_persona,actividad_empresarial,fecha,comercio,giro_comercio,tipo_venta,monto
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,02/01/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,8.46
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,02/01/22,TOTALPLAY,"SERVICIOS DE TELECOMUNICACION, LLAMADAS LOC Y LARG",digital,57.45
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,04/01/22,OXXO,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,9.43
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,04/01/22,UBER,"LIMOSINAS, (TAXIS)",digital,10.57
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,05/01/22,FARMACIASGUADALAJARA,"DROGUERIAS, (FARMACIAS)",fisica,19.3
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,05/01/22,FARMACIASGUADALAJARA,"DROGUERIAS, (FARMACIAS)",fisica,7.48
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,05/01/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,9.43
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,06/01/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,75.12
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,09/01/22,URBANI,SERVICIOS DE TRANSPORTE -NO CLASIFICADO,digital,3.69
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,10/01/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,8.8
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,10/01/22,UBER,"LIMOSINAS, (TAXIS)",digital,12.87
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,11/01/22,UBER,"LIMOSINAS, (TAXIS)",digital,22.06
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,14/01/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,6.67
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,17/01/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,106.85
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,20/01/22,GOOGLEYOUTUBE,BIENES DIGITALES APLICACIONES,fisica,13.45
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,20/01/22,GOOGLEYOUTUBE,BIENES DIGITALES APLICACIONES,fisica,13.45
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,24/01/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,83.88
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,26/01/22,URBANI,SERVICIOS DE TRANSPORTE -NO CLASIFICADO,digital,5.99
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,26/01/22,FARMACIASGUADALAJARA,"DROGUERIAS, (FARMACIAS)",fisica,3.11
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,27/01/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,5.41
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,27/01/22,UBER,"LIMOSINAS, (TAXIS)",digital,8.27
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,28/01/22,UBER,"LIMOSINAS, (TAXIS)",digital,1.48
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,28/01/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,17.82
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,31/01/22,UBER,"LIMOSINAS, (TAXIS)",digital,10.16
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,31/01/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,36.98
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,07/02/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,72.14
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,09/02/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,4.89
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,09/02/22,UBER,"LIMOSINAS, (TAXIS)",digital,9.21
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,10/02/22,UBER,"LIMOSINAS, (TAXIS)",digital,13.21
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,10/02/22,UBER,"LIMOSINAS, (TAXIS)",digital,15.69
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,10/02/22,UBER,"LIMOSINAS, (TAXIS)",digital,15.71
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,11/02/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,13.28
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,12/02/22,TOTALPLAY,"SERVICIOS DE TELECOMUNICACION, LLAMADAS LOC Y LARG",digital,63.31
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,14/02/22,UBER,"LIMOSINAS, (TAXIS)",digital,11.12
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,14/02/22,URBANI,SERVICIOS DE TRANSPORTE -NO CLASIFICADO,digital,5.99
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,14/02/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,10.12
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,16/02/22,URBANI,SERVICIOS DE TRANSPORTE -NO CLASIFICADO,digital,5.99
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,16/02/22,URBANI,SERVICIOS DE TRANSPORTE -NO CLASIFICADO,digital,11.73
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,16/02/22,UBER,"LIMOSINAS, (TAXIS)",digital,8.38
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,18/02/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,91.35
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,18/02/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,16.9
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,22/02/22,AMAZON,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),digital,25.27
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,23/02/22,FARMACIASSIMILARES,"DROGUERIAS, (FARMACIAS)",fisica,62.62
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,25/02/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,74.09
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,25/02/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,9.55
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,27/02/22,UBER,"LIMOSINAS, (TAXIS)",digital,8.28
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,28/02/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,8.57
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,28/02/22,UBER,"LIMOSINAS, (TAXIS)",digital,9.29
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,28/02/22,UBER,"LIMOSINAS, (TAXIS)",digital,7.94
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,01/03/22,7ELEVEN,"TIENDAS DE CONVENIENCIA, MINISUPER",fisica,2.71
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,01/03/22,UBER,"LIMOSINAS, (TAXIS)",digital,8.33
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,03/03/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,88.14
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,08/03/22,URBANI,SERVICIOS DE TRANSPORTE -NO CLASIFICADO,digital,2.54
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,09/03/22,GOOGLE,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,fisica,2.54
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,10/03/22,SORIANA,AUTOSERVICIOS Y SUPERMERCADOS,fisica,99.61
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,10/03/22,URBANI,SERVICIOS DE TRANSPORTE -NO CLASIFICADO,digital,5.99
441f2f27c0a36e7cfd332b5d2dc46d71bb6d4f2c,Persona Fisica Sin Actividad Empresarial,AMA DE CASA,13/03/22,TOTALPLAY,"SERVICIOS DE TELECOMUNICACION, LLAMADAS LOC Y LARG",digital,63.31
